,localhour,air1,air2,air3,furnace1,furnace2,waterheater1,total_thermal_load
36,2013-04-28 08:00:00-05,5372.983333333333,324.4166666666667,0.0,140.75,318.0,3066.333333333333,9222.483333333334
37,2013-04-29 08:00:00-05,1734.7499999999998,2.5499999999999994,0.0,140.7,238.3833333333333,3393.9499999999994,5510.333333333333
38,2013-04-30 08:00:00-05,1980.9999999999998,247.53333333333333,0.0,142.01666666666668,306.28333333333336,1033.3,3710.133333333333
39,2013-05-01 08:00:00-05,5406.083333333333,378.5333333333333,226.36666666666667,194.03333333333333,340.01666666666665,3545.2499999999995,10090.28333333333
40,2013-05-02 08:00:00-05,2.4333333333333336,9.283333333333333,0.0,18627.583333333332,240.83333333333331,3186.2166666666662,22066.35
41,2013-05-03 08:00:00-05,0.0,5.533333333333332,0.0,13712.783333333333,239.7,1852.6333333333332,15810.650000000003
42,2013-05-04 08:00:00-05,0.8333333333333333,1.6166666666666665,0.0,888.1666666666665,240.11666666666667,2104.2,3234.933333333333
43,2013-05-05 08:00:00-05,2.55,0.6166666666666667,0.0,141.76666666666665,241.01666666666665,3266.5499999999997,3652.4999999999995
44,2013-05-06 08:00:00-05,1.3,1.2666666666666666,0.0,2094.8,240.11666666666667,2480.3666666666663,4817.849999999999
45,2013-05-07 08:00:00-05,1.4833333333333334,0.26666666666666666,0.0,140.86666666666667,239.96666666666667,3059.75,3442.333333333333
46,2013-05-08 08:00:00-05,1125.9666666666667,0.45,0.0,142.41666666666666,238.6333333333333,959.0666666666665,2466.5333333333338
47,2013-05-09 08:00:00-05,1.0,0.7666666666666666,0.0,143.6,239.93333333333334,872.1166666666666,1257.4166666666667
48,2013-05-10 08:00:00-05,2.8666666666666663,0.8333333333333333,0.0,143.01666666666668,241.33333333333334,1148.2166666666667,1536.2666666666667
49,2013-05-11 08:00:00-05,0.8,1.4333333333333333,0.0,143.45,240.0,775.5999999999999,1161.283333333333
50,2013-05-12 08:00:00-05,2.4499999999999997,0.8,0.0,141.31666666666666,240.68333333333328,1158.0333333333333,1543.2833333333333
51,2013-05-13 08:00:00-05,1.5166666666666666,0.26666666666666666,0.0,142.13333333333333,240.86666666666665,792.5833333333333,1177.3666666666668
52,2013-05-14 08:00:00-05,3116.2999999999997,0.4666666666666666,0.0,141.93333333333334,236.71666666666667,1457.8833333333332,4953.299999999999
53,2013-05-15 08:00:00-05,3357.183333333333,0.7,0.0,140.86666666666667,237.45,772.8999999999999,4509.1
54,2013-05-16 08:00:00-05,8701.933333333332,3.2333333333333334,0.0,140.0666666666667,233.31666666666663,798.1999999999999,9876.75
55,2013-05-17 08:00:00-05,12940.549999999997,1.6166666666666667,0.0,141.5,229.2833333333333,815.7166666666666,14128.666666666666
56,2013-05-18 08:00:00-05,14175.333333333332,1.2166666666666668,0.0,139.86666666666667,229.5333333333333,395.23333333333323,14941.183333333334
57,2013-05-19 08:00:00-05,872.3499999999998,0.0,0.0,142.45000000000002,239.31666666666666,809.2333333333333,2063.35
58,2013-05-20 08:00:00-05,4401.633333333333,0.0,0.0,141.8,236.54999999999998,816.4166666666665,5596.400000000001
59,2013-05-21 08:00:00-05,3446.4166666666665,0.15,0.0,140.7166666666667,237.61666666666665,812.1,4636.999999999999
60,2013-05-22 08:00:00-05,3038.1666666666665,0.0,0.0,141.79999999999998,237.54999999999998,396.4166666666665,3813.9333333333325
61,2013-05-23 08:00:00-05,3438.183333333333,0.0,0.0,142.36666666666665,237.83333333333334,836.2333333333333,4654.616666666666
62,2013-05-24 08:00:00-05,2.1333333333333333,0.0,0.0,142.31666666666666,240.0,1191.2333333333331,1575.6833333333332
63,2013-05-25 08:00:00-05,1.3833333333333333,0.0,0.0,143.56666666666666,240.0,783.5999999999999,1168.55
64,2013-05-26 08:00:00-05,399.65000000000003,0.0,0.0,140.8166666666667,239.63333333333333,805.7833333333331,1585.8833333333332
65,2013-05-27 08:00:00-05,1715.483333333333,0.0,0.0,140.38333333333333,238.63333333333333,811.2833333333332,2905.7833333333338
66,2013-05-28 08:00:00-05,3487.999999999999,0.0,0.0,141.05,237.43333333333334,827.3666666666666,4693.85
67,2013-05-29 08:00:00-05,1292.7999999999997,0.5166666666666666,0.0,140.35000000000002,238.98333333333335,808.2999999999998,2480.9500000000003
68,2013-05-30 08:00:00-05,3924.55,0.0,0.0,141.1333333333333,237.56666666666663,771.3499999999998,5074.600000000001
69,2013-05-31 08:00:00-05,11590.966666666665,2109.166666666666,0.0,139.49999999999997,762.8833333333333,437.54999999999984,15040.066666666664
70,2013-06-01 08:00:00-05,11682.416666666668,5895.483333333333,0.0,142.26666666666665,1566.9333333333334,825.5,20112.6
71,2013-06-02 08:00:00-05,8042.499999999997,592.25,0.0,141.01666666666665,381.00000000000006,786.6833333333332,9943.449999999999
72,2013-06-03 08:00:00-05,11306.25,1435.0999999999997,0.0,140.73333333333332,559.7999999999998,392.03333333333325,13833.916666666664
73,2013-06-04 08:00:00-05,9190.900000000001,3919.916666666667,0.0,139.1,1084.416666666667,804.3166666666666,15138.649999999996
74,2013-06-05 08:00:00-05,12869.866666666667,3197.1166666666663,4944.383333333331,1137.2666666666667,946.2499999999999,424.0,23518.883333333335
