,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0,202.03333333333327,0.0,0.0,0.0,0.0,0.0,437.01666666666654,258.0333333333333,549.2499999999999,558.5,556.4499999999999,283.8166666666666,0.0,182.81666666666663,64.78333333333333,0.0,201.25,0.0,58.33333333333333,0.0,0.0,0.0,0.0
1,197.71666666666664,0.0,0.0,0.0,0.0,0.0,192.03333333333327,0.0,0.0,0.0,193.66666666666666,0.0,204.76666666666665,0.0,65.71666666666665,1442.9333333333336,684.9333333333333,485.2333333333333,0.25,43.51666666666666,269.1166666666667,0.0,0.0,0.0
2,197.31666666666663,0.0,0.0,0.0,0.0,0.0,0.0,227.58333333333331,223.5,0.0,0.0,985.05,200.98333333333326,0.65,197.16666666666666,0.26666666666666666,0.0,0.0,273.3666666666666,202.3333333333333,0.0,0.0,0.0,0.0
3,0.0,196.55,0.0,0.0,0.0,0.0,0.0,211.01666666666665,274.2833333333333,674.0,211.68333333333328,0.0,207.41666666666663,0.0,192.3333333333333,0.0,0.0,0.0,453.63333333333327,223.75,0.0,191.11666666666665,0.0,0.0
4,0.0,0.0,193.06666666666663,0.0,0.0,0.0,0.0,190.51666666666665,0.0,0.0,0.0,0.0,204.61666666666665,216.56666666666666,228.7,213.60000000000002,0.0,17.9,188.93333333333328,0.0,0.0,0.0,0.0,0.0
5,203.31666666666663,0.0,0.0,0.0,0.0,209.54999999999998,0.0,0.0,0.0,209.5833333333333,0.0,194.85,0.0,508.0833333333332,699.6166666666666,219.03333333333327,203.5,209.76666666666665,215.3833333333333,0.7,0.0,0.0,223.2333333333333,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.56666666666666,210.2,462.84999999999997,208.15,1191.1833333333332,221.28333333333333,141.66666666666666,65.71666666666665,0.0,0.0,236.4,459.1,236.95,0.0,0.0,210.28333333333327,0.0
7,0.0,0.0,0.0,0.0,216.3833333333333,0.0,0.0,0.0,966.25,1011.5166666666667,233.4166666666666,0.0,459.5666666666666,0.0,211.68333333333328,0.0,0.0,0.0,0.0,776.7666666666667,502.5333333333332,230.15,0.0,0.0
8,148.0833333333333,59.033333333333324,0.0,0.0,0.0,212.36666666666665,0.0,0.0,214.9,0.0,0.0,0.0,0.0,164.26666666666665,124.6333333333333,0.0,228.7833333333333,0.0,0.0,594.4000000000001,560.9333333333332,204.91666666666666,0.0,0.0
9,0.0,215.43333333333328,0.0,0.0,0.0,0.0,0.0,213.21666666666664,249.48333333333332,208.4,0.0,245.0333333333333,750.6166666666666,881.7833333333332,378.55,594.8666666666667,1144.3666666666668,958.9666666666664,214.53333333333327,213.51666666666665,0.0,31.23333333333333,168.16666666666666,0.0
10,0.0,0.0,210.43333333333328,0.0,0.0,0.0,0.0,501.7666666666666,229.1333333333333,599.1333333333332,707.6333333333332,247.9333333333333,206.0,0.0,773.0166666666665,1046.8666666666668,224.55,0.0,205.46666666666667,0.0,0.0,202.45,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,211.04999999999998,0.0,0.0,235.85,218.95000000000002,0.0,0.0,0.0,69.55,151.96666666666664,157.8833333333333,0.0,0.0,0.0,126.0833333333333,217.29999999999998,0.0,0.0,0.0
